team,games_played,minutes_played,usage_percentage,offensive_win_shares,defensive_win_shares,value_over_replacement_player
ATL,0.8671875,0.21525733668725675,0.17770154373927954,0.4882742041257698,0.4882742041257698,0.9336492890995262
BOS,0.7461139896373057,0.5866026383194805,0.5556272170267655,0.9111795894321836,0.9111795894321836,1.027777777777778
BRK,0.029175050301810865,0.23411768016295825,0.22686084142394816,0.41432555174886465,0.41432555174886465,0.009929078014184396
CHO,0.008928571428571428,0.06864449922542291,0.06782398062171982,0.0,0.0,0.0
CHI,0.41309255079006774,0.23855514327723668,0.23260372427311335,0.39165661901656584,0.39165661901656584,-0.5000000000000001
CLE,0.7189542483660131,0.4365141585823567,0.455836410110764,0.41173906785808523,0.41173906785808523,0.8
DAL,0.09401709401709402,0.35156281041867726,0.24557051736357194,0.38349954669084313,0.38349954669084313,0.04166666666666667
DEN,0.0,0.0,0.0,0.0,0.0,0.0
DET,0.42050929112181695,0.16140138625898603,0.14731861198738172,-0.21148758971791407,-0.21148758971791407,0.34255319148936175
GSW,0.731042654028436,0.1412687317342264,0.16434892541087234,-0.0259026824604692,-0.0259026824604692,1.0
HOU,0.4992012779552716,0.31935783233250026,0.30749718151071026,0.12259511599079392,0.12259511599079392,0.5208791208791209
IND,0.5911330049261084,0.2793814548678259,0.3364014251781473,0.1049073637847728,0.1049073637847728,0.21052631578947367
LAC,0.0,0.0,0.0,0.0,0.0,0.0
LAL,0.17254901960784313,0.4274483968482832,0.35803300774671604,0.49950172132632714,0.49950172132632714,0.5833333333333334
MEM,0.11242603550295859,0.21069842469200054,0.22358642972536347,0.7145370574004838,0.7145370574004838,0.25000000000000006
MIA,0.7329192546583851,0.5839362801726758,0.5549888428434809,0.75,0.75,1.5000000000000013
MIL,0.012269938650306749,0.023566276916702274,0.024446142093200916,0.0,0.0,0.0
MIN,0.026785714285714284,0.10533936651583713,0.09952082565425728,0.40223463687150834,0.40223463687150834,-0.25000000000000006
NOP,0.075,0.11431237606438818,0.05478364430329495,0.26291079812206575,0.26291079812206575,0.3749999999999999
NYK,0.15065913370998116,0.30858756335539417,0.27836566725455614,0.6510639987158487,0.6510639987158487,0.04477611940298508
OKC,0.1686746987951807,0.10775762608373304,0.08404074702886248,0.24499748768349683,0.24499748768349683,-0.7500000000000004
ORL,0.25,0.39261656394318617,0.3374131657294078,0.12615781432546344,0.12615781432546344,0.3999999999999999
PHI,0.0,0.0,0.0,0.0,0.0,0.0
PHO,0.09016393442622951,0.09994563995582663,0.11446173800259403,0.11640211640211637,0.11640211640211637,0.11764705882352944
POR,0.048672566371681415,0.08763757321422959,0.04582111436950147,0.050459992840136164,0.050459992840136164,-0.3333333333333329
SAC,0.07878787878787878,0.03545610048286763,0.04095665171898356,0.0400469449833537,0.0400469449833537,-0.2
SAS,0.087248322147651,0.28562861966028896,0.2880606443461782,-0.21770514523300794,-0.21770514523300794,0.12500000000000006
TOR,0.25,0.07934614746428242,0.03423160961398398,0.021091925642592296,0.021091925642592296,0.0
UTA,0.25833333333333336,0.20901116099007452,0.1908256880733945,0.21739130434782608,0.21739130434782608,0.1
WAS,0.23015873015873015,0.3409203873151559,0.24207582349285273,0.3446475195822455,0.3446475195822455,0.22222222222222224
